"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"12/01/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/02/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/03/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/04/2019","1229","Census Tract 207302","1229","Census Tract 207302",95,38,232,,,,,,,,,,95,38,232,,,
"12/05/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/06/2019","1229","Census Tract 207302","1229","Census Tract 207302",150,76,298,,,,,,,,,,150,76,298,,,
"12/07/2019","1229","Census Tract 207302","1229","Census Tract 207302",159,87,293,,,,,,,,,,159,87,293,,,
"12/08/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/09/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/10/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/11/2019","1229","Census Tract 207302","1229","Census Tract 207302",144,62,330,,,,,,,,,,144,62,330,,,
"12/12/2019","1229","Census Tract 207302","1229","Census Tract 207302",152,65,356,,,,,,,,,,152,65,356,,,
"12/13/2019","1229","Census Tract 207302","1229","Census Tract 207302",157,74,336,,,,,,,,,,157,74,336,,,
"12/14/2019","1229","Census Tract 207302","1229","Census Tract 207302",208,82,530,,,,,,,,,,208,82,530,,,
"12/15/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/16/2019","1229","Census Tract 207302","1229","Census Tract 207302",174,106,286,,,,,,,,,,174,106,286,,,
"12/17/2019","1229","Census Tract 207302","1229","Census Tract 207302",95,55,162,,,,,,,,,,95,55,162,,,
"12/18/2019","1229","Census Tract 207302","1229","Census Tract 207302",168,109,259,,,,,,,,,,168,109,259,,,
"12/19/2019","1229","Census Tract 207302","1229","Census Tract 207302",161,83,310,,,,,,,,,,161,83,310,,,
"12/20/2019","1229","Census Tract 207302","1229","Census Tract 207302",252,130,488,,,,,,,,,,252,130,488,,,
"12/21/2019","1229","Census Tract 207302","1229","Census Tract 207302",217,86,544,,,,,,,,,,217,86,544,,,
"12/22/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/23/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/24/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/25/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/26/2019","1229","Census Tract 207302","1229","Census Tract 207302",200,82,482,,,,,,,,,,200,82,482,,,
"12/27/2019","1229","Census Tract 207302","1229","Census Tract 207302",288,67,1229,,,,,,,,,,288,67,1229,,,
"12/28/2019","1229","Census Tract 207302","1229","Census Tract 207302",235,84,654,,,,,,,,,,235,84,654,,,
"12/29/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,
"12/30/2019","1229","Census Tract 207302","1229","Census Tract 207302",,,,,,,,,,,,,,,,,,